CN_CODE,LONG_DESCRIPTION,QUALITY_HEADING,QUALITY_DESC,QUALITY_DESC_HS6
18031000,Cocoa paste (excl. defatted),Cocoa,Cocoa paste,Cocoa paste
18032000,"Cocoa paste, wholly or partly defatted",Cocoa,Cocoa paste,Cocoa paste
18040000,"Cocoa butter, fat and oil",Cocoa,Cocoa butter,Cocoa butter
18050000,"Cocoa powder, not containing added sugar or other sweetening matter",Cocoa,Cocoa powder (unsweetened),Cocoa powder (unsweetened)
18061010,"Sweetened cocoa powder, containing no sucrose or < 65 % sucrose, incl. inverted sugar expressed as sucrose or isoglucose expressed as sucrose",Cocoa,Sweetened cocoa powder,Sweetened cocoa powder
18061015,"Cocoa powder, containing added sugar or other sweetening matter but containing no sucrose or containing < 5% by weight of sucrose, incl. inverted sugar expressed as sucrose or isoglucose expressed as sucrose",Cocoa,Sweetened cocoa powder,Sweetened cocoa powder
18061020,"Cocoa powder, containing added sugar or other sweetening matter, containing >= 5% but < 65% by weight of sucrose, incl. inverted sugar expressed as sucrose or isoglucose expressed as sucrose",Cocoa,Sweetened cocoa powder,Sweetened cocoa powder
18061030,"Sweetened cocoa powder, containing >= 65% but < 80% sucrose, incl. inverted sugar expressed as sucrose or isoglucose expressed as sucrose",Cocoa,Sweetened cocoa powder,Sweetened cocoa powder
18061090,"Sweetened cocoa powder, containing >= 80% sucrose, incl. inverted sugar expressed as sucrose or isoglucose expressed as sucrose",Cocoa,Sweetened cocoa powder,Sweetened cocoa powder
18062010,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > 2 kg or in liquid, paste, powder, granular or other bulk form, in containers or immediate packings of a content > 2 kg, containing >= 31%, by weight, of cocoa butter or containing a combined weight of >= 31% of cocoa butter and milkfat (excl. cocoa powder)",Chocolate,Chocolate,Chocolate
18062030,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > 2 kg or in liquid, paste, powder, granular or other bulk form, in containers or immediate packings of a content > 2 kg, containing a combined weight of >= 25% but < 31% of cocoa butter and milkfat (excl. cocoa powder)",Chocolate,Chocolate,Chocolate
18062050,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > 2 kg or in liquid, paste, powder, granular or other bulk form, in containers or immediate packings of a content > 2 kg, containing >= 18% by weight but < 31% by weight of cocoa butter (excl. cocoa powder)",Chocolate,Chocolate,Chocolate
18062070,Chocolate milk crumb preparations in containers or immediate packings of a content of > 2 kg,Chocolate,Chocolate,Chocolate
18062080,Chocolate flavour coating in containers or immediate packings of a content > 2 kg,Cocoa,Chocolate coating,Chocolate coating
18062090,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of > 2 kg, liquids, pastes, powders, granular or similar, in packings of > 2 kg, containing < 18 % cocoa butter (excl. cocoa powder and chocolate milk crumb preparations)",Cocoa,Sweetened cocoa powder,Sweetened cocoa powder
18062095,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > 2 kg or in liquid, paste, powder, granular or other bulk form, in containers or immediate packings of a content > 2 kg, containing < 18% by weight of cocoa butter (excl. cocoa powder, chocolate flavour coating and chocolate milk crumb)",Chocolate,Chocolate,Chocolate
18063100,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg, filled",Chocolate,Chocolate,Chocolate
18063210,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg, with added cereal, fruit or nuts (excl. filled)",Chocolate,Chocolate,Chocolate
18063290,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excl. filled and with added cereal, fruit or nuts)",Chocolate,Chocolate,Chocolate
18069011,"Chocolate and chocolate products in the form of chocolates, whether or not filled, containing alcohol",Chocolate,Chocolate,Chocolate
18069019,"Chocolate and chocolate products in the form of chocolates, whether or not filled, not containing alcohol",Chocolate,Chocolate,Chocolate
18069031,"Chocolate and chocolate products, filled (excl. in blocks, slabs or bars and chocolates)",Chocolate,Chocolate,Chocolate
18069039,"Chocolates and chocolate products, unfilled (excl. in blocks, slabs or bars, chocolates)",Chocolate,Chocolate,Chocolate
18069050,"Sugar confectionery and substitutes therefor made from sugar substitution products, containing cocoa",Confectionery,Confectionery,Confectionery
18069060,Spreads containing cocoa,Cocoa preparations,Cocoa preparations,Cocoa preparations
18069070,"Preparations containing cocoa, for making beverages",Cocoa preparations,Cocoa preparations,Cocoa preparations
18069090,"Preparations containing cocoa, in containers or immediate packings of <= 2 kg (excl. chocolate, chocolates and other chocolate products, sugar confectionery and substitutes therefor made from sugar substitution products, spreads and preparations containing cocoa for making beverages, and cocoa powder)",Cocoa preparations,Cocoa preparations,Cocoa preparations
18CCC000,Corrections due to erroneous codes belonging to chapter 18,Cocoa,Confidential,Confidential
18MMM000,Trade broken down at chapter level only,Cocoa,Confidential,Confidential
18SSS072,Confidential trade of chapter 18 and SITC group 072,Cocoa,Confidential,Confidential
18SSS073,Confidential trade of chapter 18 and SITC group 073,Cocoa,Confidential,Confidential
18SSS999,Confidential trade of chapter 18 and SITC group 999,Cocoa,Confidential,Confidential
19019099,"Food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing cocoa in a proportion by weight of < 40%, calculated on a totally defatted basis, and food preparations of milk, cream, butter milk, sour milk, sour cream, whey, yogurt, kephir or similar goods in heading 0401 to 0404, not containing cocoa or containing cocoa in a proportion by weight of < 5%, calculated on a totally defatted basis, n.e.s. (excl. malt extract and preparations for infant food, put up for retail sale, mixes and doughs for preparation of bakers' wares and goods in subheadings 1901.90.91 and 1901.90.95)",Other,Delete,Delete
20060031,"Cherries, with a sugar content of > 13%, preserved by sugar, drained, glacé or crystallised",Other,Sweetened fruit,Sweetened fruit
20060038,"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar ""drained, glacé or crystallised"", with a sugar content of > 13% by weight (excl. cherries, ginger, guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola, pitahaya, coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, colanuts and macadamia nuts)",Other,Sweetened fruit,Sweetened fruit
20071010,"Homogenised preparations of jams, fruit jellies, marmalades, fruit or nut purée and pastes, obtained by cooking, put up for retail sale as infant food or for dietetic purposes, in containers of <= 250 g, with sugar content of > 13% by weight",Other,Jam,Jam
20079110,"Citrus fruit jams, jellies, marmalades, purées or pastes, obtained by cooking, with sugar content of > 30% by weight (excl. homogenised preparations of subheading 2007.10)",Other,Jam,Jam
20079130,"Citrus fruit jams, jellies, marmalades, purées or pastes, obtained by cooking, with sugar content of > 13% but <= 30% by weight (excl. homogenised preparations of subheading 2007.10)",Other,Jam,Jam
20079910,"Plum purée and paste, obtained by cooking, with sugar content of > 30% by weight, in packings of > 100 kg, for industrial processing",Other,Jam,Jam
20079920,"Chestnut purée and paste, obtained by cooking, with sugar content of > 30% by weight (excl. homogenised preparations of subheading 2007.10)",Other,Jam,Jam
20079931,"Cherry jams, jellies, marmalades, purées or pastes, obtained by cooking, with sugar content of > 30% by weight (excl. homogenised preparations of subheading 2007.10)",Other,Jam,Jam
20079933,"Strawberry jams, jellies, marmalades, purées or pastes, obtained by cooking, with sugar content of > 30% (excl. homogenised preparations of subheading 2007.10)",Other,Jam,Jam
20079935,"Raspberry jams, jellies, marmalades, purées or pastes, obtained by cooking, with sugar content of > 30% by weight (excl. homogenised preparations of subheading 2007.10)",Other,Jam,Jam
20079939,"Jams, jellies, marmalades, fruit purées or pastes, obtained by cooking, with sugar content of > 30% by weight (excl. raspberries, strawberries, cherries and citrus fruits, chestnut purée and paste, homogenised preparations of subheading 2007.10, and plum purée and paste, in packings of > 100 kg, for industrial processing)",Other,Jam,Jam
20079950,"Jams, fruit jellies, marmalades, fruit purée and fruit pastes, obtained by cooking, with a sugar content of > 13 to 30% by weight (excl. such products made from citrus fruits and homogenised preparations of subheading 2007.10)",Other,Jam,Jam
20079951,"Chestnut puree and paste, obtained by cooking, with sugar content of > 13% but <= 30% by weight (excl. homogenised preparations of subheading 2007.10)",Other,Jam,Jam
20079955,"Apple purée, obtained by cooking, with a sugar content of > 13% but <= 30% by weight (excl. homogenised preparations of subheading 2007.10)",Other,Jam,Jam
20079957,"Jams, fruit jellies, marmalades, fruit purée and fruit pastes, obtained by cooking, with a sugar content of > 13 to 30% by weight (excl. such products made from citrus fruits, apple purée and homogenised preparations of subheading 2007.10)",Other,Jam,Jam
20079958,"Jams, fruit jellies, marmalades, fruit purée and fruit pastes, obtained by cooking, with a sugar content of > 13-30% by weight (excl. such products made from citrus fruits, chestnut purée and paste, apple purée and homogenised preparations of subheading 2007.10)",Other,Jam,Jam
20079959,"Jams, jellies, marmalades, fruit purées or pastes, obtained by cooking, with sugar content of > 13 % but =< 30 % (excl. citrus fruits, chestnut purée and paste and homogenized preparations of subheading 2007 10 10)",Other,Jam,Jam
20079990,"Jams, jellies, marmalades, fruit purées or pastes, whether or not sweetened (excl. with sugar content of > 13 %, homogenized preparations of subheading 2007 10 90 and citrus fruit)",Other,Jam,Jam
20091111,"Frozen orange juice, unfermented, Brix value > 67 at 20°C, value of <= 30 € per 100 kg, whether or not containing added sugar or other sweetening matter (excl. containing spirit)",Other,Fruit juice,Fruit juice
20091191,"Frozen orange juice, unfermented, Brix value <= 67 at 20°C, value of <= 30 € per 100 kg, with > 30% added sugar (excl. containing spirit)",Other,Fruit juice,Fruit juice
20091911,"Orange juice, unfermented, Brix value > 67 at 20°C, value of <= 30 € per 100 kg, whether or not containing added sugar or other sweetening matter (excl. containing spirit and frozen)",Other,Fruit juice,Fruit juice
20091991,"Orange juice, unfermented, Brix value > 20 but <= 67 at 20°C, value of <= 30 € per 100 kg, containing > 30% added sugar (excl. containing spirit and frozen)",Other,Fruit juice,Fruit juice
20092911,"Grapefruit juice, unfermented, Brix value > 67 at 20°C, value of <= 30 € per 100 kg, whether or not containing added sugar or other sweetening matter (excl. containing spirit)",Other,Fruit juice,Fruit juice
20092991,"Grapefruit juice, unfermented, Brix value > 20 but <= 67 at 20°C, value of <= 30 € per 100 kg, containing > 30% added sugar (excl. containing spirit)",Other,Fruit juice,Fruit juice
20093911,"Single citrus fruit juice, unfermented, Brix value > 67 at 20°C, value of <= 30 € per 100 kg, whether or not containing added sugar or other sweetening matter (excl. containing spirit, mixtures, orange juice and grapefruit juice)",Other,Fruit juice,Fruit juice
20093951,"Lemon juice, unfermented, Brix value > 20 but <= 67 at 20°C, value of <= 30 € per 100 kg, containing > 30% added sugar (excl. containing spirit)",Other,Fruit juice,Fruit juice
20093991,"Single citrus fruit juice, unfermented, Brix value > 20 but <= 67 at 20°C, value of <= 30 € per 100 kg, containing > 30% added sugar (excl. or containing spirit, mixtures, lemon, orange and grapefruit juice)",Other,Fruit juice,Fruit juice
20094911,"Pineapple juice, unfermented, Brix value > 67 at 20°C, value of <= 30 € per 100 kg, whether or not containing added sugar or other sweetening matter (excl. containing spirit)",Other,Fruit juice,Fruit juice
20094991,"Pineapple juice, unfermented, Brix value > 20 but <= 67 at 20°C, value of <= 30 € per 100 kg, containing > 30% added sugar (excl. containing spirit)",Other,Fruit juice,Fruit juice
20098011,"Pear juice, unfermented, Brix value > 67 at 20°C, value of <= 22 € per 100 kg, whether or not containing added sugar or other sweetening matter (excl. containing spirit)",Other,Fruit juice,Fruit juice
20098035,"Juice of fruit or vegetables, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter, Brix value > 67 at 20°C, value of <= € 30 per 100 kg (excl. mixtures and juice of citrus fruit, passion fruit, mangoes, mangosteens, papaws ""papayas"", jackfruit, guavas, tamarinds, cashew apples, lychees, sapodillo plums, carambola or pitahaya, pineapples, tomatoes, grapes, apples and pears)",Other,Fruit juice,Fruit juice
20098061,"Pear juice, unfermented, Brix value <= 67 at 20°C, value of <= 18 € per 100 kg, containing > 30% added sugar (excl. containing spirit)",Other,Fruit juice,Fruit juice
20098086,"Juice of fruit or vegetables, unfermented, Brix value <= 67 at 20°C, value of <= € 30 per 100 kg, containing > 30% added sugar (excl. mixtures or containing spirit, and juice of citrus fruits, guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola, pitahaya, pineapple juice, tomato juice, grape juice, incl. grape must, apple juice and pear juice)",Other,Fruit juice,Fruit juice
20099011,"Mixtures of apple and pear juice, unfermented, Brix value > 67 at 20°C, value of <= 22 € per 100 kg, whether or not containing added sugar or other sweetening matter (excl. containing spirit)",Other,Fruit juice,Fruit juice
20099021,"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, Brix value > 67 at 20°C, value of <= 30 € per 100 kg, whether or not containing added sugar or other sweetening matter (excl. containing spirit and mixtures of apple and pear juice)",Other,Fruit juice,Fruit juice
20099031,"Mixtures of apple and pear juice, unfermented, Brix value <= 67 at 20°C, value of <= 18 € per 100 kg, containing > 30% added sugar (excl. containing spirit)",Other,Fruit juice,Fruit juice
20099071,"Mixtures of citrus and pineapple juice, unfermented, Brix value <= 67 at 20°C, value of <= 30 € per 100 kg, containing > 30% added sugar (excl. containing spirit)",Other,Fruit juice,Fruit juice
20099094,"Mixtures of fruit juices, incl. grape must and juices of vegetables, unfermented, Brix value <= 67 at 20°C, value of <= € 30 per 100 kg, containing > 30% added sugar (excl. containing spirit, mixtures of apple and pear juices or of citrus fruit and pineapple juices and of juices of guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya)",Other,Fruit juice,Fruit juice
21011298,Preparations with a basis of coffee,Other,Coffee preparations,Coffee preparations
21012098,Preparations with a basis of tea or maté,Other,Tea preparations,Tea preparations
21069030,Flavoured or coloured isoglucose syrups,Other sugars,Isoglucose,Isoglucose
21069059,"Flavoured or coloured sugar syrups (excl. isoglucose, lactose, glucose and maltodextrine syrups)",Other sugars,Isoglucose,Isoglucose
21069098,"Food preparations, n.e.s., containing, by weight, >= 1,5% milkfat, >= 5% sucrose or isoglucose, >= 5% glucose or >= 5% starch",Other,Miscl. food preparations,Miscl. food preparations
22021000,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption as a beverage",Other,Soft drinks,Soft drinks
22071000,"Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%",Ethanol,Un-denatured ethanol,Un-denatured ethanol
22072000,Denatured ethyl alcohol and other spirits of any strength,Ethanol,Denatured ethanol,Denatured ethanol
23032010,Beet-pulp,Biomass,Beet pulp,Beet pulp
23032011,Beet-pulp having a dry matter content of >= 87% by weight,Biomass,Very dry beet pulp,Very dry beet pulp
23032013,"Beet pulp, of dry matter content of >= 18 % but < 87 %",Biomass,Moist beet pulp,Moist beet pulp
23032018,Beet-pulp having a dry matter content of < 87% by weight,Biomass,Moist beet pulp,Moist beet pulp
23032019,"Beet pulp, of dry matter content of < 18 %",Biomass,Wet beet pulp,Wet beet pulp
23032090,Bagasse and other waste of sugar manufacture (excl. beet pulp),Biomass,Bagasse,Bagasse
23099091,Beef-pulp with added molasses of a kind used in animal feeding,Other,Beet pulp with added molasses,Beet pulp with added molasses
33021029,"Preparations based on odoriferous substances, containing all flavouring agents characterizing a beverage, containing, by weight, >= 1,5% milkfat, >= 5% sucrose or isoglucose, >= 5% glucose or >= 5% starch, of a kind used in the drink industries (excl. of an actual alcoholic strength of > 0,5% vol)",Other,Soft drink concentrate,Soft drink concentrate
