QUARTER_YEAR	QUALITY_DESC	ISO2 (Declarant)	ISO2 (Partner)	Quantity (mt)	Value (€)	Price (€/t) (f)
Q1 - 2023	DC raws (centrifugal)	CZ	SZ	151	€ 122,452	
Q1 - 2023	DC raws (centrifugal)	DE	MU	1,291	€ 1,009,304	€ 787
Q1 - 2023	DC raws (centrifugal)	DE	SZ	1,548	€ 985,145	€ 635
Q1 - 2023	DC raws (centrifugal)	ES	MU	753	€ 609,789	€ 805
Q1 - 2023	DC raws (centrifugal)	ES	SZ	1,035	€ 798,454	€ 817
Q1 - 2023	DC raws (centrifugal)	FI	MU	132	€ 123,658	
Q1 - 2023	DC raws (centrifugal)	FR	DZ	0	€ 202	
Q1 - 2023	DC raws (centrifugal)	FR	MU	460	€ 369,942	€ 797
Q1 - 2023	DC raws (centrifugal)	GB	MU	2,443	€ 2,179,641	€ 906
Q1 - 2023	DC raws (centrifugal)	GB	MZ	25	€ 24,247	
Q1 - 2023	DC raws (centrifugal)	GR	MU	656	€ 550,028	€ 841
Q1 - 2023	DC raws (centrifugal)	GR	SZ	735	€ 609,525	€ 825
Q1 - 2023	DC raws (centrifugal)	HR	MU	75	€ 60,375	
Q1 - 2023	DC raws (centrifugal)	HR	SZ	43	€ 28,776	
Q1 - 2023	DC raws (centrifugal)	HU	MU	0	€ 310	
Q1 - 2023	DC raws (centrifugal)	IE	MU	25	€ 41,065	
Q1 - 2023	DC raws (centrifugal)	IT	MU	4,321	€ 4,037,889	€ 825
Q1 - 2023	DC raws (centrifugal)	IT	MZ	23	€ 30,383	
Q1 - 2023	DC raws (centrifugal)	IT	SZ	2,911	€ 1,922,292	€ 650
Q1 - 2023	DC raws (centrifugal)	IT	ZA	65	€ 54,825	
Q1 - 2023	DC raws (centrifugal)	LT	MU	528	€ 455,491	€ 862
Q1 - 2023	DC raws (centrifugal)	LT	SZ	97	€ 83,284	
Q1 - 2023	DC raws (centrifugal)	LV	MU	24	€ 19,345	
Q1 - 2023	DC raws (centrifugal)	MT	MU	4	€ 7,870	
Q1 - 2023	DC raws (centrifugal)	NL	MU	88	€ 75,030	
Q1 - 2023	DC raws (centrifugal)	NL	MZ	25	€ 23,080	
Q1 - 2023	DC raws (centrifugal)	NL	SZ	86	€ 55,019	
Q1 - 2023	DC raws (centrifugal)	PL	MU	1,501	€ 1,228,892	€ 821
Q1 - 2023	DC raws (centrifugal)	PL	SZ	108	€ 79,125	
Q1 - 2023	DC raws (centrifugal)	PT	MU	258	€ 200,148	
Q1 - 2023	DC raws (centrifugal)	PT	MW	3	€ 5,262	
Q1 - 2023	DC raws (centrifugal)	RO	MU	98	€ 86,114	
Q1 - 2023	DC raws (centrifugal)	RO	SZ	298	€ 190,565	€ 634
Q1 - 2023	DC raws (centrifugal)	SE	MU	146	€ 147,033	
Q1 - 2023	DC raws (centrifugal)	SI	MU	133	€ 138,097	
Q1 - 2023	DC raws (centrifugal)	SK	MU	23	€ 21,161	
Q1 - 2023	DC raws (non-centrifugal)	FR	MU	25	€ 22,375	
Q1 - 2023	DC raws (non-centrifugal)	FR	TZ	0	€ 131	
Q1 - 2023	DC raws (non-centrifugal)	IE	MU	110	€ 106,591	
Q1 - 2023	DC raws (non-centrifugal)	IE	SZ	43	€ 28,638	
Q1 - 2023	Glucose	BE	EG	120	€ 126,504	
Q1 - 2023	Glucose	BE	MA	3	€ 4,455	
Q1 - 2023	Glucose	DE	SD	2	€ 3,806	
Q1 - 2023	Glucose	ES	MA	0	€ 164	
Q1 - 2023	Glucose	FR	DZ	8	€ 13,357	
Q1 - 2023	Glucose	GR	EG	52	€ 29,625	
Q1 - 2023	Glucose	RO	EG	131	€ 70,308	
Q1 - 2023	Invert sugars	ES	EG	50	€ 55,000	
Q1 - 2023	Invert sugars	ES	MA	48	€ 52,502	
Q1 - 2023	Invert sugars	FR	DZ	22	€ 6,215	
Q1 - 2023	Invert sugars	FR	EG	2	€ 3,271	
Q1 - 2023	Invert sugars	IE	SZ	4	€ 6,929	
Q1 - 2023	Invert sugars	NL	ZA	21	€ 54,048	
Q1 - 2023	Invert sugars	SE	MA	0	€ 430	
Q1 - 2023	Isoglucose	FR	DZ	8	€ 12,455	
Q1 - 2023	Maltodextrine	GR	EG	1	€ 1,252	
Q1 - 2023	Maple sugar	SE	ET	0	€ 892	
Q1 - 2023	Raw sugar for refining	ES	ZA	29,843	€ 20,828,400	€ 698
Q1 - 2023	Raw sugar for refining	HR	ZA	33,042	€ 22,539,000	€ 682
Q1 - 2023	White sugar	AT	MU	24	€ 21,740	
Q1 - 2023	White sugar	BE	MA	108	€ 118,073	
Q1 - 2023	White sugar	BE	MU	840	€ 702,240	€ 845
Q1 - 2023	White sugar	BE	MZ	40	€ 43,713	
Q1 - 2023	White sugar	BG	EG	240	€ 118,050	€ 492
Q1 - 2023	White sugar	BG	MU	1,008	€ 856,813	
Q1 - 2023	White sugar	CY	MA	1,154	€ 1,095,101	€ 929
Q1 - 2023	White sugar	CY	MU	393	€ 386,970	
Q1 - 2023	White sugar	DE	MU	497	€ 447,638	€ 895
Q1 - 2023	White sugar	DE	MZ	227	€ 218,849	€ 969
Q1 - 2023	White sugar	DE	ZA	1	€ 10,959	
Q1 - 2023	White sugar	ES	EG	2,952	€ 1,980,344	€ 678
Q1 - 2023	White sugar	ES	MA	13,243	€ 7,662,215	€ 577
Q1 - 2023	White sugar	ES	MU	13,749	€ 10,467,348	€ 765
Q1 - 2023	White sugar	ES	MZ	24	€ 27,048	
Q1 - 2023	White sugar	ES	SZ	624	€ 572,868	€ 905
Q1 - 2023	White sugar	FR	DZ	4	€ 11,520	
Q1 - 2023	White sugar	FR	MA	28	€ 84,505	
Q1 - 2023	White sugar	FR	MU	4,125	€ 3,383,266	€ 805
Q1 - 2023	White sugar	FR	TZ	0	€ 292	
Q1 - 2023	White sugar	GB	MU	3,580	€ 2,935,464	€ 812
Q1 - 2023	White sugar	GB	ZA	108	€ 76,464	
Q1 - 2023	White sugar	GR	MU	426	€ 351,496	
Q1 - 2023	White sugar	HR	MU	25	€ 25,402	
Q1 - 2023	White sugar	IE	MU	3	€ 5,731	
Q1 - 2023	White sugar	IT	DZ	109	€ 45,594	
Q1 - 2023	White sugar	IT	EG	2,540	€ 1,577,466	€ 587
Q1 - 2023	White sugar	IT	MA	1,030	€ 778,928	€ 755
Q1 - 2023	White sugar	IT	MU	7,103	€ 6,070,563	€ 710
Q1 - 2023	White sugar	IT	MZ	388	€ 354,576	€ 948
Q1 - 2023	White sugar	IT	SZ	280	€ 256,705	
Q1 - 2023	White sugar	LT	SZ	22	€ 22,554	
Q1 - 2023	White sugar	MT	MA	60	€ 23,285	
Q1 - 2023	White sugar	MT	MU	876	€ 819,660	€ 956
Q1 - 2023	White sugar	NL	MZ	1,081	€ 1,132,626	€ 1,068
Q1 - 2023	White sugar	PT	MU	5,640	€ 5,186,689	€ 937
Q1 - 2023	White sugar	PT	MW	5	€ 11,656	
Q1 - 2023	White sugar	RO	EG	816	€ 399,166	€ 489
Q1 - 2023	White sugar	SI	MU	4	€ 5,972	
Q1 - 2024	Beet molasses	CY	EG	49	€ 14,759	
Q1 - 2024	Beet molasses	ES	EG	22,702	€ 4,551,585	
Q1 - 2024	Beet molasses	FR	DZ	1	€ 874	
Q1 - 2024	Beet molasses	IT	EG	5,818	€ 1,185,439	
Q1 - 2024	Cane molasses	AT	EG	3	€ 5,052	
Q1 - 2024	Cane molasses	BE	EG	2	€ 4,233	
Q1 - 2024	Cane molasses	ES	EG	88	€ 96,250	
Q1 - 2024	Cane molasses	FR	DZ	2,864	€ 755,148	€ 264
Q1 - 2024	Cane molasses	FR	EG	9	€ 12,005	
Q1 - 2024	Cane molasses	GB	EG	1	€ 1,197	
Q1 - 2024	Cane molasses	GR	EG	17	€ 32,325	
Q1 - 2024	Cane molasses	IE	EG	0	€ 822	
Q1 - 2024	Cane molasses	IT	EG	44	€ 53,901	
Q1 - 2024	Caramel	FR	DZ	3	€ 12,399	
Q1 - 2024	Caramel	GB	EG	1	€ 1,835	
Q1 - 2024	DC raws (centrifugal)	AT	MU	168	€ 165,425	
Q1 - 2024	DC raws (centrifugal)	BE	MU	740	€ 666,956	€ 898
Q1 - 2024	DC raws (centrifugal)	BE	SZ	3,225	€ 2,311,071	€ 719
Q1 - 2024	DC raws (centrifugal)	BG	MU	219	€ 197,153	
Q1 - 2024	DC raws (centrifugal)	BG	SZ	74	€ 48,782	
Q1 - 2024	DC raws (centrifugal)	CZ	MW	252	€ 176,373	€ 713
Q1 - 2024	DC raws (centrifugal)	CZ	SZ	602	€ 468,628	€ 796
Q1 - 2024	DC raws (centrifugal)	DE	MU	794	€ 738,297	€ 949
Q1 - 2024	DC raws (centrifugal)	DE	MW	552	€ 491,285	€ 890
Q1 - 2024	DC raws (centrifugal)	DE	SZ	672	€ 478,689	€ 716
Q1 - 2024	DC raws (centrifugal)	ES	MU	820	€ 756,920	€ 932
Q1 - 2024	DC raws (centrifugal)	FI	MU	132	€ 129,627	
Q1 - 2024	DC raws (centrifugal)	FR	MA	1	€ 481	
Q1 - 2024	DC raws (centrifugal)	FR	MU	1,490	€ 1,336,388	€ 888
Q1 - 2024	DC raws (centrifugal)	FR	TN	22	€ 21,720	
Q1 - 2024	DC raws (centrifugal)	GB	MU	6,563	€ 6,203,078	€ 953
Q1 - 2024	DC raws (centrifugal)	GB	MZ	50	€ 51,172	
Q1 - 2024	DC raws (centrifugal)	GB	SZ	280	€ 244,490	
Q1 - 2024	DC raws (centrifugal)	GR	MU	391	€ 359,198	
Q1 - 2024	DC raws (centrifugal)	GR	SZ	502	€ 409,940	€ 820
Q1 - 2024	DC raws (centrifugal)	HR	MU	3	€ 5,643	
Q1 - 2024	DC raws (centrifugal)	HR	SZ	22	€ 17,978	
Q1 - 2024	DC raws (centrifugal)	HU	MU	1	€ 1,584	
Q1 - 2024	DC raws (centrifugal)	IE	MU	22	€ 35,474	
Q1 - 2024	DC raws (centrifugal)	IT	MU	2,311	€ 2,096,734	€ 912
Q1 - 2024	DC raws (centrifugal)	IT	MW	300	€ 300,000	€ 1,000
Q1 - 2024	DC raws (centrifugal)	IT	SZ	2,064	€ 1,658,529	€ 806
Q1 - 2024	DC raws (centrifugal)	IT	ZM	1	€ 1,273	
Q1 - 2024	DC raws (centrifugal)	LT	MU	242	€ 224,334	€ 927
Q1 - 2024	DC raws (centrifugal)	MT	MU	6	€ 13,123	
Q1 - 2024	DC raws (centrifugal)	NL	MU	3	€ 5,315	
Q1 - 2024	DC raws (centrifugal)	NL	MZ	25	€ 31,675	
Q1 - 2024	DC raws (centrifugal)	NL	SZ	86	€ 67,216	
Q1 - 2024	DC raws (centrifugal)	PL	MU	922	€ 750,688	€ 809
Q1 - 2024	DC raws (centrifugal)	PL	SZ	298	€ 212,045	
Q1 - 2024	DC raws (centrifugal)	PT	MU	173	€ 170,569	
Q1 - 2024	DC raws (centrifugal)	PT	SZ	452	€ 385,130	€ 853
Q1 - 2024	DC raws (centrifugal)	RO	SZ	716	€ 551,437	€ 779
Q1 - 2024	DC raws (centrifugal)	SE	MU	264	€ 282,703	€ 1,026
Q1 - 2024	DC raws (centrifugal)	SI	MU	26	€ 36,655	
Q1 - 2024	DC raws (non-centrifugal)	IE	MU	85	€ 88,230	
Q1 - 2024	Glucose	BE	EG	1	€ 740	
Q1 - 2024	Glucose	BE	MA	2	€ 1,836	
Q1 - 2024	Glucose	ES	EG	0	€ 391	
Q1 - 2024	Glucose	FR	DZ	41	€ 78,178	
Q1 - 2024	Glucose	GR	EG	52	€ 23,520	
Q1 - 2024	Glucose	RO	EG	25	€ 11,523	
Q1 - 2024	Inulin	GB	EG	5	€ 7,649	
Q1 - 2024	Invert sugars	FR	DZ	53	€ 16,392	
Q1 - 2024	Invert sugars	GR	EG	4	€ 3,621	
Q1 - 2024	Invert sugars	IE	SZ	13	€ 23,872	
Q1 - 2024	Maltodextrine	ES	EG	25	€ 15,661	
Q1 - 2024	Maltose	FR	DZ	10	€ 2,875	
Q1 - 2024	Raw sugar for refining	ES	ZA	59,911	€ 41,352,877	€ 690
Q1 - 2024	Raw sugar for refining	GB	ZA	38,941	€ 26,482,522	€ 680
Q1 - 2024	White sugar	AT	MU	25	€ 22,550	
Q1 - 2024	White sugar	BE	DZ	3,014	€ 2,583,234	€ 857
Q1 - 2024	White sugar	BE	MA	42	€ 53,051	
Q1 - 2024	White sugar	BE	MU	1,910	€ 1,378,844	€ 722
Q1 - 2024	White sugar	BE	MW	956	€ 703,395	€ 699
Q1 - 2024	White sugar	BG	MA	2	€ 1,876	
Q1 - 2024	White sugar	BG	MU	25	€ 23,250	
Q1 - 2024	White sugar	BG	MZ	25	€ 25,957	
Q1 - 2024	White sugar	CY	EG	480	€ 360,682	€ 683
Q1 - 2024	White sugar	CY	MA	484	€ 323,465	€ 668
Q1 - 2024	White sugar	CY	MU	395	€ 376,296	€ 943
Q1 - 2024	White sugar	CZ	MZ	600	€ 492,633	€ 821
Q1 - 2024	White sugar	DE	MU	166	€ 163,472	
Q1 - 2024	White sugar	DE	MZ	101	€ 97,300	
Q1 - 2024	White sugar	DK	MZ	50	€ 52,513	
Q1 - 2024	White sugar	ES	EG	3,696	€ 2,587,009	€ 693
Q1 - 2024	White sugar	ES	MA	4,910	€ 3,121,059	€ 634
Q1 - 2024	White sugar	ES	MU	3,696	€ 3,195,318	€ 864
Q1 - 2024	White sugar	ES	SZ	645	€ 579,823	€ 899
Q1 - 2024	White sugar	FR	DZ	1,047	€ 484,229	€ 457
Q1 - 2024	White sugar	FR	MA	51	€ 83,543	
Q1 - 2024	White sugar	FR	MU	4,120	€ 3,602,709	€ 874
Q1 - 2024	White sugar	GB	MU	1,264	€ 1,093,923	€ 822
Q1 - 2024	White sugar	GB	ZA	3	€ 46,850	
Q1 - 2024	White sugar	GR	MZ	1,512	€ 1,277,640	€ 845
Q1 - 2024	White sugar	HR	MU	2	€ 4,469	
Q1 - 2024	White sugar	HU	MU	0	€ 1,133	
Q1 - 2024	White sugar	IE	MU	8	€ 17,576	
Q1 - 2024	White sugar	IT	DZ	597	€ 540,426	€ 879
Q1 - 2024	White sugar	IT	EG	3,483	€ 3,252,312	€ 928
Q1 - 2024	White sugar	IT	MA	7	€ 28,257	
Q1 - 2024	White sugar	IT	MU	2,336	€ 1,870,752	€ 788
Q1 - 2024	White sugar	IT	MZ	1,249	€ 1,074,491	€ 819
Q1 - 2024	White sugar	IT	SZ	43	€ 38,886	
Q1 - 2024	White sugar	LV	MZ	24	€ 27,354	
Q1 - 2024	White sugar	MT	MU	49	€ 50,110	
Q1 - 2024	White sugar	NL	MU	3	€ 7,037	
Q1 - 2024	White sugar	NL	MZ	125	€ 137,562	
Q1 - 2024	White sugar	NL	ZA	38	€ 43,636	
Q1 - 2024	White sugar	PL	MU	192	€ 173,212	
Q1 - 2024	White sugar	PT	MU	0	€ 515	
Q1 - 2024	White sugar	SE	EG	0	€ 565	
Q1 - 2024	White sugar	SE	MA	0	€ 482	
Q1 - 2024	White sugar	SE	ZA	0	€ 3,119	
Q1 - 2024	White sugar	SI	MU	5	€ 7,683	
Q1 - 2025	Beet molasses	CY	EG	1	€ 1,343	
Q1 - 2025	Beet molasses	ES	EG	970	€ 164,900	
Q1 - 2025	Beet molasses	IT	EG	3,749	€ 603,012	
Q1 - 2025	Cane molasses	BE	EG	1	€ 1,061	
Q1 - 2025	Cane molasses	ES	EG	1	€ 1,418	
Q1 - 2025	Cane molasses	FR	DZ	3,481	€ 985,905	€ 298
Q1 - 2025	Cane molasses	FR	EG	4	€ 4,265	
Q1 - 2025	Cane molasses	GB	EG	1	€ 1,689	
Q1 - 2025	Cane molasses	GB	ZA	582	€ 97,732	€ 170
Q1 - 2025	Cane molasses	IT	EG	3	€ 2,040	
Q1 - 2025	Cane molasses	RO	EG	1	€ 624	
Q1 - 2025	Caramel	FR	DZ	17	€ 8,996	
Q1 - 2025	DC raws (centrifugal)	AT	MU	192	€ 172,109	
Q1 - 2025	DC raws (centrifugal)	BE	CM	1	€ 1,672	
Q1 - 2025	DC raws (centrifugal)	BE	MU	2,655	€ 2,242,795	€ 852
Q1 - 2025	DC raws (centrifugal)	BE	SZ	3,655	€ 2,589,916	€ 705
Q1 - 2025	DC raws (centrifugal)	BG	MU	47	€ 42,819	
Q1 - 2025	DC raws (centrifugal)	BG	SZ	94	€ 72,607	
Q1 - 2025	DC raws (centrifugal)	CZ	MU	73	€ 65,083	
Q1 - 2025	DC raws (centrifugal)	CZ	SZ	144	€ 107,730	
Q1 - 2025	DC raws (centrifugal)	DE	MU	814	€ 664,365	€ 831
Q1 - 2025	DC raws (centrifugal)	DE	SZ	860	€ 638,602	€ 739
Q1 - 2025	DC raws (centrifugal)	ES	MU	2,476	€ 1,962,293	€ 792
Q1 - 2025	DC raws (centrifugal)	ES	SZ	137	€ 104,670	
Q1 - 2025	DC raws (centrifugal)	FR	MA	1	€ 206	
Q1 - 2025	DC raws (centrifugal)	FR	MG	15	€ 36,572	
Q1 - 2025	DC raws (centrifugal)	FR	MU	1,969	€ 1,555,020	€ 790
Q1 - 2025	DC raws (centrifugal)	FR	SZ	209	€ 186,788	
Q1 - 2025	DC raws (centrifugal)	GB	MU	4,479	€ 4,078,700	€ 875
Q1 - 2025	DC raws (centrifugal)	GB	SZ	237	€ 149,872	
Q1 - 2025	DC raws (centrifugal)	GR	MU	380	€ 304,955	€ 780
Q1 - 2025	DC raws (centrifugal)	GR	SZ	258	€ 192,210	€ 745
Q1 - 2025	DC raws (centrifugal)	HR	MU	225	€ 214,504	
Q1 - 2025	DC raws (centrifugal)	HR	SZ	89	€ 71,714	
Q1 - 2025	DC raws (centrifugal)	IE	MU	22	€ 39,738	
Q1 - 2025	DC raws (centrifugal)	IE	SZ	20	€ 13,280	
Q1 - 2025	DC raws (centrifugal)	IT	MU	2,062	€ 1,711,788	€ 824
Q1 - 2025	DC raws (centrifugal)	IT	MW	80	€ 72,000	
Q1 - 2025	DC raws (centrifugal)	IT	SZ	2,173	€ 1,611,959	€ 741
Q1 - 2025	DC raws (centrifugal)	LT	MU	44	€ 37,032	
Q1 - 2025	DC raws (centrifugal)	LV	MU	44	€ 38,870	
Q1 - 2025	DC raws (centrifugal)	MT	MU	5	€ 10,957	
Q1 - 2025	DC raws (centrifugal)	NL	MU	1	€ 629	
Q1 - 2025	DC raws (centrifugal)	NL	SZ	302	€ 201,586	
Q1 - 2025	DC raws (centrifugal)	PL	MU	1,333	€ 1,096,790	€ 819
Q1 - 2025	DC raws (centrifugal)	PL	MW	20	€ 15,740	
Q1 - 2025	DC raws (centrifugal)	PL	SZ	24	€ 19,032	
Q1 - 2025	DC raws (centrifugal)	PT	MU	547	€ 449,902	€ 828
Q1 - 2025	DC raws (centrifugal)	RO	MU	25	€ 21,251	
Q1 - 2025	DC raws (centrifugal)	RO	SZ	96	€ 77,116	
Q1 - 2025	DC raws (centrifugal)	SE	MU	234	€ 208,339	€ 873
Q1 - 2025	DC raws (centrifugal)	SI	MU	27	€ 28,827	
Q1 - 2025	DC raws (centrifugal)	SK	MU	75	€ 69,011	
Q1 - 2025	DC raws (non-centrifugal)	FR	MU	0	€ 163	
Q1 - 2025	DC raws (non-centrifugal)	IE	MU	0	€ 823	
Q1 - 2025	DC raws (non-centrifugal)	NL	UG	0	€ 341	
Q1 - 2025	Fructose	BE	EG	1	€ 2,625	
Q1 - 2025	Fructose	DE	TN	1	€ 1,512	
Q1 - 2025	Glucose	BE	EG	50	€ 48,443	
Q1 - 2025	Glucose	FR	DZ	117	€ 104,482	
Q1 - 2025	Glucose	GR	EG	390	€ 161,954	
Q1 - 2025	Invert sugars	FR	DZ	19	€ 6,795	
Q1 - 2025	Invert sugars	FR	TN	0	€ 293	
Q1 - 2025	Invert sugars	GB	ZA	0	€ 6,654	
Q1 - 2025	Invert sugars	IE	SZ	2	€ 3,594	
Q1 - 2025	Isoglucose	FR	DZ	0	€ 164	
Q1 - 2025	Maltodextrine	DE	EG	13	€ 9,187	
Q1 - 2025	Maple sugar	FR	DZ	8	€ 6,070	
Q1 - 2025	Raw sugar for refining	GB	MZ	39,800	€ 20,798,028	€ 523
Q1 - 2025	White sugar	BE	MA	89	€ 134,645	
Q1 - 2025	White sugar	BE	MU	740	€ 483,818	€ 646
Q1 - 2025	White sugar	BE	MZ	150	€ 171,662	
Q1 - 2025	White sugar	BE	TN	0	€ 2,704	
Q1 - 2025	White sugar	BG	MU	25	€ 23,362	
Q1 - 2025	White sugar	CY	EG	240	€ 144,514	€ 602
Q1 - 2025	White sugar	DE	MU	287	€ 220,401	
Q1 - 2025	White sugar	ES	EG	288	€ 172,800	€ 600
Q1 - 2025	White sugar	ES	MA	6,804	€ 3,568,111	€ 532
Q1 - 2025	White sugar	ES	MU	2,730	€ 1,705,230	€ 619
Q1 - 2025	White sugar	ES	SZ	22	€ 16,426	
Q1 - 2025	White sugar	FR	DZ	1,472	€ 695,997	€ 469
Q1 - 2025	White sugar	FR	MA	382	€ 311,811	€ 558
Q1 - 2025	White sugar	FR	MU	2,854	€ 1,879,799	€ 637
Q1 - 2025	White sugar	FR	TN	3	€ 25,783	
Q1 - 2025	White sugar	FR	TZ	0	€ 99	
Q1 - 2025	White sugar	GB	MU	2,822	€ 2,365,435	€ 839
Q1 - 2025	White sugar	HR	MU	1	€ 2,113	
Q1 - 2025	White sugar	IE	MU	3	€ 5,325	
Q1 - 2025	White sugar	IT	EG	1,186	€ 682,835	€ 575
Q1 - 2025	White sugar	IT	MA	687	€ 384,227	€ 544
Q1 - 2025	White sugar	IT	MU	624	€ 453,648	€ 727
Q1 - 2025	White sugar	IT	MZ	185	€ 193,808	
Q1 - 2025	White sugar	MT	MU	25	€ 26,146	
Q1 - 2025	White sugar	NL	MA	0	€ 1,914	
Q1 - 2025	White sugar	NL	MU	2	€ 4,361	
Q1 - 2025	White sugar	NL	MZ	185	€ 190,942	
Q1 - 2026	Beet molasses	IT	EG	6,806	€ 1,195,048	
Q1 - 2026	Cane molasses	FR	DZ	126	€ 12,168	
Q1 - 2026	Cane molasses	GB	DZ	3,000	€ 899,720	€ 300
Q1 - 2026	Cane molasses	NL	EG	1	€ 600	
Q1 - 2026	Caramel	FR	DZ	1	€ 1,705	
Q1 - 2026	Caramel	IT	EG	0	€ 1,273	
Q1 - 2026	DC raws (centrifugal)	AT	MU	48	€ 39,347	
Q1 - 2026	DC raws (centrifugal)	AT	SZ	215	€ 158,772	€ 738
Q1 - 2026	DC raws (centrifugal)	BE	MU	1,386	€ 1,032,570	€ 745
Q1 - 2026	DC raws (centrifugal)	BE	MW	189	€ 141,750	
Q1 - 2026	DC raws (centrifugal)	BE	SZ	301	€ 181,145	€ 602
Q1 - 2026	DC raws (centrifugal)	BG	MU	24	€ 21,600	
Q1 - 2026	DC raws (centrifugal)	BG	SZ	24	€ 18,960	
Q1 - 2026	DC raws (centrifugal)	CZ	MU	118	€ 98,853	
Q1 - 2026	DC raws (centrifugal)	DE	MU	628	€ 444,223	€ 707
Q1 - 2026	DC raws (centrifugal)	DE	SZ	151	€ 116,584	
Q1 - 2026	DC raws (centrifugal)	ES	MU	176	€ 138,160	
Q1 - 2026	DC raws (centrifugal)	FI	MU	220	€ 165,000	€ 750
Q1 - 2026	DC raws (centrifugal)	FR	MU	1,062	€ 783,315	€ 738
Q1 - 2026	DC raws (centrifugal)	FR	SZ	1	€ 853	
Q1 - 2026	DC raws (centrifugal)	FR	TN	10	€ 11,446	
Q1 - 2026	DC raws (centrifugal)	GB	MU	274	€ 246,776	
Q1 - 2026	DC raws (centrifugal)	GR	MU	677	€ 506,599	€ 748
Q1 - 2026	DC raws (centrifugal)	IE	MU	42	€ 32,922	
Q1 - 2026	DC raws (centrifugal)	IT	MU	369	€ 308,084	€ 835
Q1 - 2026	DC raws (centrifugal)	IT	MW	40	€ 36,000	
Q1 - 2026	DC raws (centrifugal)	LT	MU	244	€ 184,606	€ 757
Q1 - 2026	DC raws (centrifugal)	LV	MU	24	€ 18,945	
Q1 - 2026	DC raws (centrifugal)	NL	SZ	430	€ 288,160	€ 670
Q1 - 2026	DC raws (centrifugal)	PL	MU	892	€ 682,961	€ 766
Q1 - 2026	DC raws (centrifugal)	PL	SZ	215	€ 147,789	€ 687
Q1 - 2026	DC raws (centrifugal)	PT	MU	439	€ 348,052	€ 793
Q1 - 2026	DC raws (centrifugal)	RO	SZ	215	€ 148,674	€ 692
Q1 - 2026	DC raws (centrifugal)	SE	MU	28	€ 39,381	
Q1 - 2026	DC raws (centrifugal)	SI	MU	41	€ 60,367	
Q1 - 2026	DC raws (non-centrifugal)	IE	MU	20	€ 21,994	
Q1 - 2026	Glucose	FR	DZ	3	€ 1,334	
Q1 - 2026	Invert sugars	NL	ZA	0	€ 365	
Q1 - 2026	Lactose	PT	DZ	2	€ 20,497	
Q1 - 2026	Maltodextrine	GB	GA	5	€ 13,063	
Q1 - 2026	Maltose	FR	TN	0	€ 902	
Q1 - 2026	Raw sugar for refining	GB	MZ	36,000	€ 11,870,489	€ 330
Q1 - 2026	White sugar	BE	MA	2	€ 12,131	
Q1 - 2026	White sugar	BE	MU	240	€ 132,000	€ 550
Q1 - 2026	White sugar	CY	MA	22	€ 13,090	
Q1 - 2026	White sugar	CY	MU	25	€ 18,500	
Q1 - 2026	White sugar	CZ	MZ	20	€ 19,392	
Q1 - 2026	White sugar	DE	MU	237	€ 190,677	
Q1 - 2026	White sugar	ES	EG	448	€ 236,259	€ 527
Q1 - 2026	White sugar	ES	MA	3,366	€ 1,456,222	€ 433
Q1 - 2026	White sugar	ES	MU	192	€ 103,680	
Q1 - 2026	White sugar	FR	DZ	0	€ 672	
